origin_id,origin_dipslay_name,destination_id,destination_display_name,date_range,mean_travel_time,range_lower,range_upper
"177","1230 Peachtree St NE, Atlanta, GA","2","Census Tract 234.21","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2476,1585,3865
"177","1230 Peachtree St NE, Atlanta, GA","3","Census Tract 214.11","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1198,895,1603
"177","1230 Peachtree St NE, Atlanta, GA","4","Census Tract 214.16","9/1/2019 - 9/30/2019, Weekdays, Daily Average",899,642,1257
"177","1230 Peachtree St NE, Atlanta, GA","5","Census Tract 215.04","9/1/2019 - 9/30/2019, Weekdays, Daily Average",875,601,1273
"177","1230 Peachtree St NE, Atlanta, GA","7","Census Tract 503.11","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1673,1205,2320
"177","1230 Peachtree St NE, Atlanta, GA","9","Census Tract 66.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1479,1040,2101
"177","1230 Peachtree St NE, Atlanta, GA","10","Census Tract 67","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1262,820,1941
"177","1230 Peachtree St NE, Atlanta, GA","11","Census Tract 93","9/1/2019 - 9/30/2019, Weekdays, Daily Average",612,429,871
"177","1230 Peachtree St NE, Atlanta, GA","12","Census Tract 94.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",521,334,812
"177","1230 Peachtree St NE, Atlanta, GA","13","Census Tract 101.08","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2001,1563,2561
"177","1230 Peachtree St NE, Atlanta, GA","15","Census Tract 101.10","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1268,884,1818
"177","1230 Peachtree St NE, Atlanta, GA","16","Census Tract 102.05","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1424,1047,1935
"177","1230 Peachtree St NE, Atlanta, GA","17","Census Tract 102.08","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1892,1341,2668
"177","1230 Peachtree St NE, Atlanta, GA","18","Census Tract 105.07","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1649,1239,2193
"177","1230 Peachtree St NE, Atlanta, GA","20","Census Tract 105.12","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1846,1417,2403
"177","1230 Peachtree St NE, Atlanta, GA","21","Census Tract 106.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1616,1194,2185
"177","1230 Peachtree St NE, Atlanta, GA","22","Census Tract 106.03","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1651,1169,2331
"177","1230 Peachtree St NE, Atlanta, GA","23","Census Tract 106.04","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1597,1182,2157
"177","1230 Peachtree St NE, Atlanta, GA","24","Census Tract 303.30","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1565,1286,1904
"177","1230 Peachtree St NE, Atlanta, GA","25","Census Tract 313.11","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1472,1111,1948
"177","1230 Peachtree St NE, Atlanta, GA","31","Census Tract 101.22","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1347,953,1903
"177","1230 Peachtree St NE, Atlanta, GA","33","Census Tract 303.32","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1874,1438,2441
"177","1230 Peachtree St NE, Atlanta, GA","36","Census Tract 310.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1264,962,1660
"177","1230 Peachtree St NE, Atlanta, GA","37","Census Tract 303.20","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1204,892,1624
"177","1230 Peachtree St NE, Atlanta, GA","38","Census Tract 305.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1381,1034,1842
"177","1230 Peachtree St NE, Atlanta, GA","40","Census Tract 313.07","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2232,1625,3065
"177","1230 Peachtree St NE, Atlanta, GA","41","Census Tract 303.19","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1748,1318,2317
"177","1230 Peachtree St NE, Atlanta, GA","42","Census Tract 311.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1548,1123,2132
"177","1230 Peachtree St NE, Atlanta, GA","43","Census Tract 303.18","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1674,1255,2231
"177","1230 Peachtree St NE, Atlanta, GA","45","Census Tract 305.04","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1313,986,1747
"177","1230 Peachtree St NE, Atlanta, GA","46","Census Tract 311.10","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1550,1170,2053
"177","1230 Peachtree St NE, Atlanta, GA","56","Census Tract 303.39","9/1/2019 - 9/30/2019, Weekdays, Daily Average",892,616,1289
"177","1230 Peachtree St NE, Atlanta, GA","57","Census Tract 303.10","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2000,1483,2697
"177","1230 Peachtree St NE, Atlanta, GA","59","Census Tract 303.12","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1938,1526,2460
"177","1230 Peachtree St NE, Atlanta, GA","61","Census Tract 303.13","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1860,1401,2468
"177","1230 Peachtree St NE, Atlanta, GA","62","Census Tract 304.05","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1116,818,1521
"177","1230 Peachtree St NE, Atlanta, GA","63","Census Tract 303.14","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1913,1615,2265
"177","1230 Peachtree St NE, Atlanta, GA","64","Census Tract 305.05","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1266,943,1698
"177","1230 Peachtree St NE, Atlanta, GA","65","Census Tract 307","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1732,1270,2360
"177","1230 Peachtree St NE, Atlanta, GA","67","Census Tract 308","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1348,1037,1751
"177","1230 Peachtree St NE, Atlanta, GA","68","Census Tract 309.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1852,1454,2358
"177","1230 Peachtree St NE, Atlanta, GA","69","Census Tract 309.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1494,1214,1838
"177","1230 Peachtree St NE, Atlanta, GA","74","Census Tract 310.04","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1773,1281,2453
"177","1230 Peachtree St NE, Atlanta, GA","75","Census Tract 310.05","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1953,1453,2623
"177","1230 Peachtree St NE, Atlanta, GA","76","Census Tract 219.12","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2048,1484,2824
"177","1230 Peachtree St NE, Atlanta, GA","78","Census Tract 303.27","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1967,1648,2347
"177","1230 Peachtree St NE, Atlanta, GA","79","Census Tract 311.08","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1408,1043,1899
"177","1230 Peachtree St NE, Atlanta, GA","80","Census Tract 311.11","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1405,1054,1871
"177","1230 Peachtree St NE, Atlanta, GA","81","Census Tract 311.12","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1488,1107,1999
"177","1230 Peachtree St NE, Atlanta, GA","82","Census Tract 303.29","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1712,1442,2031
"177","1230 Peachtree St NE, Atlanta, GA","86","Census Tract 313.10","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1564,1200,2037
"177","1230 Peachtree St NE, Atlanta, GA","87","Census Tract 214.05","9/1/2019 - 9/30/2019, Weekdays, Daily Average",991,712,1378
"177","1230 Peachtree St NE, Atlanta, GA","89","Census Tract 220.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1490,1024,2167
"177","1230 Peachtree St NE, Atlanta, GA","91","Census Tract 220.05","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1955,1355,2819
"177","1230 Peachtree St NE, Atlanta, GA","94","Census Tract 236.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1974,1219,3195
"177","1230 Peachtree St NE, Atlanta, GA","96","Census Tract 215.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",554,354,866
"177","1230 Peachtree St NE, Atlanta, GA","97","Census Tract 216.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1069,732,1559
"177","1230 Peachtree St NE, Atlanta, GA","98","Census Tract 216.03","9/1/2019 - 9/30/2019, Weekdays, Daily Average",621,409,940
"177","1230 Peachtree St NE, Atlanta, GA","99","Census Tract 217.03","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1224,851,1759
"177","1230 Peachtree St NE, Atlanta, GA","100","Census Tract 224.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",712,496,1020
"177","1230 Peachtree St NE, Atlanta, GA","101","Census Tract 224.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",974,709,1337
"177","1230 Peachtree St NE, Atlanta, GA","102","Census Tract 224.03","9/1/2019 - 9/30/2019, Weekdays, Daily Average",986,703,1381
